IT대학 컴퓨터학부,,,,,,,,,,,2019학년도 제 1학기,,
2,전공,COME311-001,확률및통계,,3,3,,장재석,"월7A,7B,8A,수7A,7B,8A",,,IT대학4호관(제2학생회관)-104,
2,전공,COMP217-017,자바프로그래밍,,3,2,2,서영균,"목6A,6B,7A,7B,8A,8B,9A,9B",,,IT융복합관(IT융복합공학관)-355,
2,전공,COMP217-018,자바프로그래밍,,3,2,2,류은경,"화6A,6B 7A,7B 8A,8B 9A,9B",,,IT융복합관(IT융복합공학관)-309,
2,전공,GLSO214-001,SW진로설계,,3,3,,김상욱,"화1A,1B,2A,2B,3A,3B 목1A,1B,2A,2B,3A,3B",,,IT대학4호관(제2학생회관)-108,집중강의
2,전공,GLSO215-001,오픈소스프로그래밍,,3,2,2,탁병철,"수1A,1B,2A,2B,3A,3B,4A,4B",,,IT융복합관(IT융복합공학관)-301,
2,전공,GLSO215-002,오픈소스프로그래밍,,3,2,2,배준현,"금1A,1B,2A,2B,3A,3B,4A,4B",,,공대12호관-209,
2,전공필수,GLSO216-001,알고리즘실습,,3,2,2,이성원,"목6A,6B,7A,7B,8A,8B,9A,9B",,,IT융복합관(IT융복합공학관)-309,
2,전공필수,GLSO216-002,알고리즘실습,,3,2,2,이성원,"화6A,6B,7A,7B,8A,8B,9A,9B",,,IT융복합관(IT융복합공학관)-355,
3,교양,CLTR003-010,실용화법,,3,3,,최준,"월1A,1B,2A 수2B,3A,3B",,,IT융복합관(IT융복합공학관)-B101,
,,,,,,,,,,,,,
,,,,수  업  시  간  표,,,,,,,,,
IT대학 컴퓨터학부 글로벌소프트웨어융합전공,,,,,,,,,,,2019학년도 제 1학기,,
학년,구분, 교과번호-분반     ,  교 과 목 명,,학점,강의,실습,담당교수,"강의시간(요일,교시)        ",,,강 의 실    ,비고
3,교양,CLTR779-001,나의 첫 사업제안서,,3,3,,변수룡,"월2B,3A,3B 금1A,1B,2A",,,IT융복합관(IT융복합공학관)-B101,
3,전공,GLSO218-001,SW융합설계1,,3,2,2,김재수,"월6A,6B,7A,7B,8A,8B,9A,9B",,,IT융복합관(IT융복합공학관)-245,
3,전공,GLSO219-001,SW공학및테스팅,,3,3,,,"화5B,6A,6B 금7A,7B,8A",,,IT융복합관(IT융복합공학관)-248,
3,전공,GLSO220-001,소프트웨어융합특강1,,1,1,,정순기,"화8A,8B",,,IT융복합관(IT융복합공학관)-245,
