,,,,,,,,,,,,,,
,,CLTR045-026,논리와 비판적 사고,3.0 ,,3.0 ,,전재원,"목7A,7B,8A 8B,9A,9B",,,상주캠퍼스 도서관 및 10호관-405,말/특수동물학과,
,,CLTR045-027,논리와 비판적 사고,3.0 ,,3.0 ,,강동수,"월1A,1B,2A 수2B,3A,3B",,,IT대학1호관(공대10호관)-206,전자공학부,
,,CLTR045-028,논리와 비판적 사고,3.0 ,,3.0 ,,이상봉,"월1A,1B,2A 수2B,3A,3B",,,IT대학1호관(공대10호관)-211,전자공학부,
,,CLTR045-029,논리와 비판적 사고,3.0 ,,3.0 ,,김경수,"월1A,1B,2A 수2B,3A,3B",,,IT대학1호관(공대10호관)-317,전자공학부,
,,CLTR045-030,논리와 비판적 사고,3.0 ,,3.0 ,,이상환,"월2B,3A,3B 금1A,1B,2A",,,공대8호관-201,전기공학과,
,,CLTR045-031,논리와 비판적 사고,3.0 ,,3.0 ,,박정식,"화7A,7B,8A 목7A,7B,8A",,,법과대학(법학전문대학원)-205,행정학부,
,,CLTR045-032,논리와 비판적 사고,3.0 ,,3.0 ,,박효엽,"월1A,1B,2A 2B,3A,3B",,,상주캠퍼스 도서관 및 10호관-405,나노소재공학부,
,,CLTR045-033,논리와 비판적 사고,3.0 ,,3.0 ,,박효엽,"월7A,7B,8A 8B,9A,9B",,,상주캠퍼스 도서관 및 10호관-405,나노소재공학부,
,,CLTR045-034,논리와 비판적 사고,3.0 ,,3.0 ,,박대원,"수1A,1B,2A 2B,3A,3B",,,상주캠퍼스 제9호관-115,섬유공학전공,
,,CLTR045-035,논리와 비판적 사고,3.0 ,,3.0 ,,김상현,"목1A,1B,2A 2B,3A,3B",,,상주캠퍼스 도서관 및 10호관-305,패션디자인전공,
,,CLTR045-036,논리와 비판적 사고,3.0 ,,3.0 ,,박정식,"월1A,1B,2A 수2B,3A,3B",,,공대8호관-109,전자재료공학전공,
,,,,,,,,,,,,,,
,,,,수  업  시  간  표,,,,,,,,,,
첨성인기초(글쓰기),,,,,,,,,,,2019학년도 제 1학기,,,
학년,구분,교과번호-분반,교과목명,학점,,강의,실습,   담당교수,"강의시간(요일,교시)",,,강의실,강좌관리과,
,,CLTR205-001,대학글쓰기,3.0 ,,3.0 ,,,"월7A,7B,8A 금7A,7B,8A",,,인문대학-308,국어국문학과,
